championId,win,ban,version
14,0,164,8.8
24,1,25,8.8
96,1,145,8.8
5,0,25,8.8
121,1,81,8.8
42,0,164,8.8
516,1,28,8.8
157,0,81,8.8
38,1,-1,8.8
2,1,121,8.8
67,0,2,8.8
72,0,43,8.8
412,1,145,8.8
12,0,-1,8.8
40,1,25,8.8
498,0,51,8.8
142,1,145,8.8
39,0,51,8.8
2,0,8,8.8
164,1,28,8.8
104,0,7,8.8
27,0,41,8.8
48,0,121,8.8
13,0,164,8.8
58,0,121,8.8
14,1,497,8.8
145,0,420,8.8
43,1,164,8.8
76,0,25,8.8
89,1,497,8.8
5,0,121,8.8
55,1,41,8.8
12,0,121,8.8
7,0,39,8.8
202,1,142,8.8
164,0,76,8.8
59,0,121,8.8
127,0,39,8.8
498,0,13,8.8
39,0,-1,8.8
122,1,5,8.8
12,1,121,8.8
51,1,121,8.8
39,0,76,8.8
43,1,-1,8.8
107,0,-1,8.8
5,1,121,8.8
43,0,5,8.8
51,0,105,8.8
5,0,121,8.8
51,0,38,8.8
127,0,25,8.8
114,1,-1,8.8
164,0,145,8.8
13,0,164,8.8
81,0,5,8.8
110,0,145,8.8
12,0,14,8.8
69,1,497,8.8
41,0,121,8.8
164,1,145,8.8
2,0,28,8.8
51,0,223,8.7
24,0,164,8.7
145,0,164,8.7
69,1,25,8.7
69,1,39,8.7
2,0,5,8.7
58,0,12,8.7
30,1,105,8.7
222,0,114,8.7
201,1,39,8.7
421,0,41,8.7
2,0,39,8.7
27,0,25,8.7
51,1,27,8.7
14,0,7,8.7
145,1,5,8.7
69,0,498,8.7
81,1,121,8.7
14,0,41,8.7
223,0,39,8.7
498,1,164,8.7
8,0,25,8.7
64,0,145,8.7
27,1,-1,8.7
163,0,39,8.7
41,1,157,8.7
14,1,25,8.7
40,0,-1,8.7
76,1,2,8.7
202,0,41,8.7
12,0,164,8.7
51,0,5,8.7
18,1,2,8.7
59,0,39,8.7
13,0,114,8.7
